투자사명,투자단계
유진증권,3
벤처스퀘어,3
벤처스퀘어,1
비에이파트너스,3
비에이파트너스,3
윤민창의투자재단,1
윤민창의투자재단,2
블루포인트파트너스,2
블루포인트파트너스,1
스트롱벤처스,3
스트롱벤처스,2
스트롱벤처스,2
스톤브릿지벤처스,2
스톤브릿지벤처스,2
윤민창의투자재단,3
윤민창의투자재단,6
제이비인베스트먼트,6
제이비인베스트먼트,5
제이비인베스트먼트,3
한국투자파트너스,6
한국투자파트너스,5
두나무앤파트너스,5
두나무앤파트너스,6
두나무앤파트너스,6
한국산업은행,6
한국산업은행,6
우리벤처파트너스,5
우리벤처파트너스,6
비에스케이인베스트먼트,6
비에스케이인베스트먼트,6
티그리스인베스트먼트,5
티그리스인베스트먼트,3
티그리스인베스트먼트,6
메디치인베스트먼트,6
메디치인베스트먼트,6
대신증권,6
대신증권,6
윤민창의투자재단,1
윤민창의투자재단,2
디쓰리쥬빌리파트너스,2
디쓰리쥬빌리파트너스,2
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
윤민창의투자재단,1
한국벤처투자,1
한국벤처투자,1
연세대학교기술지주,1
연세대학교기술지주,1
더인벤션랩,1
더인벤션랩,1
신용보증기금,1
신용보증기금,1
신용보증기금,2
고려대학교기술지주회사,1
고려대학교기술지주회사,2
씨앤벤처파트너스,1
씨앤벤처파트너스,2
네이버,1
네이버,2
네이버,2
카카오벤처스,1
카카오벤처스,2
아이비케이기업은행,2
아이비케이기업은행,2
신한캐피탈,1
신한캐피탈,2
한국산업은행,2
한국산업은행,2
비하이인베스트먼트,2
비하이인베스트먼트,2
현대자동차,2
현대자동차,2
네이버,1
네이버,3
케이비인베스트먼트,3
케이비인베스트먼트,3
블록크래프터스,1
블록크래프터스,3
네이버,1
네이버,3
네이버,3
슈미트,3
슈미트,3
본엔젤스벤처파트너스,3
본엔젤스벤처파트너스,3
케이비인베스트먼트,3
케이비인베스트먼트,3
네이버,1
네이버,2
카카오벤처스,1
카카오벤처스,2
카카오벤처스,2
스톤브릿지벤처스,1
스톤브릿지벤처스,2
스톤브릿지벤처스,2
녹십자,2
녹십자,2
에스브이인베스트먼트,2
에스브이인베스트먼트,2
네이버,1
네이버,2
네이버,2
베이스인베스트먼트,2
베이스인베스트먼트,1
한국투자파트너스,2
한국투자파트너스,1
본엔젤스벤처파트너스,2
본엔젤스벤처파트너스,2
본엔젤스벤처파트너스,1
펄어비스캐피탈,2
펄어비스캐피탈,2
네이버,5
디쓰리쥬빌리파트너스,6
아이엠엠인베스트먼트,6
아이엠엠인베스트먼트,5
제이비인베스트먼트,1
제이비인베스트먼트,5
인터베스트,5
본엔젤스벤처파트너스,1
신한캐피탈,6
신한은행,5
에이치비인베스트먼트,6
아이비케이캐피탈,6
한국산업은행,5
캡스톤파트너스,5
에스비파트너스,6
엔에이치투자증권,6
티에스인베스트먼트,5
네이버,3
네이버,3
카카오벤처스,3
카카오벤처스,3
씨제이이엔엠,3
씨제이이엔엠,3
네이버,1
네이버,1
씨엔티테크,1
씨엔티테크,1
경남창조경제혁신센터,1
경남창조경제혁신센터,1
네이버,1
네이버,1
네이버,1
네이버,1
네이버,1
네이버,1
서울대학교기술지주,1
서울대학교기술지주,1
네이버,1
네이버,1
롯데벤처스,1
매쉬업엔젤스,1
네이버,1
네이버,2
케이비인베스트먼트,2
케이비인베스트먼트,2
더웰스인베스트먼트,2
더웰스인베스트먼트,2
네이버,2
네이버,3
본엔젤스벤처파트너스,1
본엔젤스벤처파트너스,2
본엔젤스벤처파트너스,3
케이비인베스트먼트,2
케이비인베스트먼트,3
씨제이이엔엠,3
씨제이이엔엠,3
블루포인트파트너스,1
포항공과대학교기술지주,1
네이버,3
네이버,3
네이버,3
파트너스인베스트먼트,3
파트너스인베스트먼트,3
네이버,1
네이버,5
네이버,5
아이엠엠인베스트먼트,5
아이엠엠인베스트먼트,5
김기사랩,1
김기사랩,5
본엔젤스벤처파트너스,1
본엔젤스벤처파트너스,5
라구나인베스트먼트,5
라구나인베스트먼트,5
라구나인베스트먼트,3
우리벤처파트너스,5
우리벤처파트너스,5
컴퍼니케이파트너스,5
컴퍼니케이파트너스,3
컴퍼니케이파트너스,5
코오롱인베스트먼트,5
코오롱인베스트먼트,5
브리즈인베스트먼트,5
브리즈인베스트먼트,5
네이버,1
네이버,6
씨제이인베스트먼트,5
씨제이인베스트먼트,3
씨제이인베스트먼트,6
디지털헬스케어파트너스,6
디지털헬스케어파트너스,6
아이엠엠인베스트먼트,5
아이엠엠인베스트먼트,6
삼성벤처투자,5
삼성벤처투자,3
삼성벤처투자,6
스톤브릿지벤처스,5
스톤브릿지벤처스,6
신한은행,6
신한은행,5
에이치지이니셔티브,5
에이치지이니셔티브,6
네이버,1
네이버,3
인라이트벤처스,3
인라이트벤처스,3
쿨리지코너인베스트먼트,3
쿨리지코너인베스트먼트,3
디티앤인베스트먼트,3
디티앤인베스트먼트,3
네이버,1
네이버,3
위벤처스,3
위벤처스,3
에이티넘인베스트먼트,3
에이티넘인베스트먼트,3
현대자동차,1
현대자동차,3
우리은행,3
우리은행,3
네이버,1
네이버,1
네이버,3
슈미트,1
슈미트,3
리벤처스,3
리벤처스,3
네이버,1
네이버,2
네이버,2
매쉬업엔젤스,1
매쉬업엔젤스,2
빅베이슨캐피탈,2
빅베이슨캐피탈,2
네이버,1
네이버,2
본엔젤스벤처파트너스,1
본엔젤스벤처파트너스,2
본엔젤스벤처파트너스,2
한국산업은행,2
한국산업은행,2
인터밸류파트너스,2
인터밸류파트너스,2
타임폴리오자산운용,2
타임폴리오자산운용,2
네이버,1
네이버,1
매쉬업엔젤스,1
매쉬업엔젤스,1
네이버,1
네이버,3
포항공과대학교기술지주,1
포항공과대학교기술지주,3
포항공과대학교기술지주,3
비에이파트너스,3
비에이파트너스,3
유티씨인베스트먼트,3
유티씨인베스트먼트,3
포스코기술투자,3
포스코기술투자,3
네이버,1
네이버,2
네이버,2
씨제이인베스트먼트,2
씨제이인베스트먼트,2
스마일게이트인베스트먼트,2
스마일게이트인베스트먼트,2
스프링캠프,1
스프링캠프,2
케이티인베스트먼트,2
케이티인베스트먼트,2
빅뱅엔젤스,1
빅뱅엔젤스,2
네이버,1
네이버,3
네이버,3
롯데벤처스,1
롯데벤처스,3
롯데벤처스,3
카카오벤처스,1
카카오벤처스,3
카카오벤처스,3
신한캐피탈,1
신한캐피탈,3
신한캐피탈,3
미래에셋벤처투자,3
미래에셋벤처투자,3
미래에셋캐피탈,3
미래에셋캐피탈,3
디에스씨인베스트먼트,3
디에스씨인베스트먼트,3
뮤렉스파트너스,3
뮤렉스파트너스,3
네이버,1
블루포인트파트너스,1
엘비인베스트먼트,3
빅베이슨캐피탈,5
옐로우독,5
네이버,1
인포뱅크,1
한국투자파트너스,5
쿨리지코너인베스트먼트,5
에이치비인베스트먼트,5
하나은행,5
한국산업은행,5
비에이파트너스,3
비에이파트너스,5
디에스씨인베스트먼트,3
디에스씨인베스트먼트,5
빅뱅엔젤스,1
컴퍼니비,1
네이버,5
네이버,5
스트롱벤처스,3
스트롱벤처스,5
은행권청년창업재단,1
은행권청년창업재단,5
스톤브릿지벤처스,5
스톤브릿지벤처스,3
네이버,1
네이버,3
네이버,3
롯데벤처스,1
롯데벤처스,3
롯데벤처스,3
카카오벤처스,1
카카오벤처스,3
카카오벤처스,3
블루포인트파트너스,1
블루포인트파트너스,3
한국투자파트너스,3
한국투자파트너스,3
신한캐피탈,3
신한캐피탈,3
신한캐피탈,1
네이버,1
네이버,1
미래과학기술지주,1
미래과학기술지주,1
네이버,3
네이버,5
블루포인트파트너스,1
블루포인트파트너스,5
씨제이인베스트먼트,5
씨제이인베스트먼트,5
아이비케이기업은행,5
아이비케이기업은행,5
서울산업진흥원,1
서울산업진흥원,5
한국투자파트너스,5
한국투자파트너스,5
하나금융지주,5
하나금융지주,5
한국산업은행,5
한국산업은행,5
스틱벤처스,5
스틱벤처스,5
스틱벤처스,3
네이버,3
네이버,5
스트롱벤처스,3
스트롱벤처스,5
스트롱벤처스,5
한국투자파트너스,3
한국투자파트너스,5
하나금융지주,5
하나금융지주,3
하나벤처스,5
하나벤처스,3
하나벤처스,5
비에스케이인베스트먼트,1
비에스케이인베스트먼트,3
비에스케이인베스트먼트,5
비에스케이인베스트먼트,5
네이버,3
퓨처플레이,1
서울산업진흥원,1
비하이인베스트먼트,3
신한대체투자운용,3
에이치지이니셔티브,1
크립톤,1
네이버,5
네이버,3
네이버,5
아이비케이기업은행,3
아이비케이기업은행,5
씨엔티테크,1
씨엔티테크,5
아이비케이캐피탈,5
아이비케이캐피탈,5
코오롱인베스트먼트,5
코오롱인베스트먼트,5
에스브이인베스트먼트,5
에스브이인베스트먼트,5
에스브이인베스트먼트,3
에이벤처스,5
에이벤처스,3
네이버,1
네이버,3
슈미트,3
슈미트,3
슈미트,1
신한캐피탈,3
신한캐피탈,3
삼성벤처투자,3
삼성벤처투자,3
디에스씨인베스트먼트,2
디에스씨인베스트먼트,3
디에스씨인베스트먼트,3
현대자동차,3
현대자동차,3
에트리홀딩스,1
에트리홀딩스,3
네이버,5
네이버,1
해시드,5
해시드,5
서울산업진흥원,5
서울산업진흥원,1
신용보증기금,3
신용보증기금,5
한국벤처투자,1
한국벤처투자,5
삼성벤처투자,5
삼성벤처투자,5
카이트창업가재단,1
카이트창업가재단,5
포스코기술투자,5
포스코기술투자,1
녹십자,5
녹십자,5
케이투인베스트먼트파트너스,5
케이투인베스트먼트파트너스,5
인사이트에퀴티파트너스,3
인사이트에퀴티파트너스,5
인사이트에퀴티파트너스,5
네오플라이,5
네오플라이,1
네이버,3
네이버,5
롯데벤처스,1
롯데벤처스,3
롯데벤처스,5
엘앤에스벤처캐피털,5
엘앤에스벤처캐피털,5
엘앤에스벤처캐피털,3
한국산업은행,3
한국산업은행,5
에이티넘인베스트먼트,3
에이티넘인베스트먼트,5
현대자동차,5
현대자동차,1
프리미어파트너스,5
프리미어파트너스,5
신한벤처투자,5
신한벤처투자,5
어니스트벤처스,5
어니스트벤처스,3
어니스트벤처스,5
컴퍼니비,1
컴퍼니비,5
네이버,3
네이버,3
제이비인베스트먼트,3
제이비인베스트먼트,3
에이치비인베스트먼트,3
에이치비인베스트먼트,3
현대기술투자,3
현대기술투자,3
현대기술투자,3
에스엘인베스트먼트,3
에스엘인베스트먼트,3
에이티넘인베스트먼트,3
에이티넘인베스트먼트,3
에스비아이인베스트먼트,3
에스비아이인베스트먼트,3
프리미어파트너스,3
프리미어파트너스,3
서울투자파트너스,3
서울투자파트너스,3
브리즈인베스트먼트,3
브리즈인베스트먼트,3
브리즈인베스트먼트,3
네이버,3
네이버,2
네이버,3
퓨처플레이,1
퓨처플레이,3
퓨처플레이,3
패스트벤처스,1
패스트벤처스,3
케이비인베스트먼트,3
케이비인베스트먼트,2
케이비인베스트먼트,3
하나벤처스,2
하나벤처스,3
하나벤처스,3
네이버,3
네이버,3
프라이머,1
프라이머,3
슈미트,3
슈미트,3
서울산업진흥원,2
서울산업진흥원,3
본엔젤스벤처파트너스,2
본엔젤스벤처파트너스,3
은행권청년창업재단,2
은행권청년창업재단,3
엘앤에스벤처캐피털,3
엘앤에스벤처캐피털,3
디에스씨인베스트먼트,3
디에스씨인베스트먼트,3
네이버,2
네이버,3
네이버,3
씨제이인베스트먼트,3
씨제이인베스트먼트,3
아이엠엠인베스트먼트,3
아이엠엠인베스트먼트,3
케이비인베스트먼트,2
케이비인베스트먼트,3
한국산업은행,3
한국산업은행,3
캡스톤파트너스,2
캡스톤파트너스,3
캡스톤파트너스,3
카카오인베스트먼트,2
카카오인베스트먼트,3
네이버,2
네이버,2
벤처스퀘어,2
벤처스퀘어,2
벤처스퀘어,1
빅뱅엔젤스,1
빅뱅엔젤스,2
네이버,3
네이버,5
씨제이인베스트먼트,5
씨제이인베스트먼트,5
씨제이인베스트먼트,3
신용보증기금,3
신용보증기금,5
쿨리지코너인베스트먼트,3
쿨리지코너인베스트먼트,5
벤처스퀘어,5
벤처스퀘어,3
패스트인베스트먼트,5
패스트인베스트먼트,3
우리은행,5
우리은행,3
타임폴리오자산운용,5
타임폴리오자산운용,5
티그리스인베스트먼트,5
티그리스인베스트먼트,5
코리아오메가투자금융,3
코리아오메가투자금융,3
코리아오메가투자금융,5
신한벤처투자,5
신한벤처투자,5
원익투자파트너스,5
원익투자파트너스,3
원익투자파트너스,5
유경피에스지자산운용,5
유경피에스지자산운용,5
세종벤처파트너스,5
세종벤처파트너스,5
네이버,5
네이버,5
네이버,5
한국투자파트너스,3
한국투자파트너스,5
삼성벤처투자,5
삼성벤처투자,5
디에스자산운용,5
디에스자산운용,5
소프트뱅크벤처스,3
소프트뱅크벤처스,1
소프트뱅크벤처스,5
엘비인베스트먼트,5
엘비인베스트먼트,3
엘비인베스트먼트,5
캡스톤파트너스,1
캡스톤파트너스,3
캡스톤파트너스,5
캡스톤파트너스,5
블루포인트파트너스,3
한국벤처투자,3
에스엘인베스트먼트,3
뮤렉스파트너스,3
네이버,6
네이버,6
500글로벌,6
500글로벌,5
500글로벌,3
아이엠엠인베스트먼트,6
아이엠엠인베스트먼트,6
굿워터캐피털,5
굿워터캐피털,6
굿워터캐피털,6
본엔젤스벤처파트너스,6
본엔젤스벤처파트너스,1
본엔젤스벤처파트너스,2
케이비인베스트먼트,6
케이비인베스트먼트,6
케이비인베스트먼트,5
알토스벤처스,5
알토스벤처스,3
알토스벤처스,6
알토스벤처스,6
소프트뱅크벤처스,5
소프트뱅크벤처스,6
에스비아이인베스트먼트,6
에스비아이인베스트먼트,6
캡스톤파트너스,6
캡스톤파트너스,6
네이버,2
네이버,5
해시드,5
해시드,5
해시드,3
굿워터캐피털,5
굿워터캐피털,5
프라이머사제파트너스,5
프라이머사제파트너스,5
미래에셋벤처투자,2
미래에셋벤처투자,5
크릿벤처스,3
크릿벤처스,5
크릿벤처스,5
미래에셋캐피탈,5
미래에셋캐피탈,5
소프트뱅크벤처스,5
소프트뱅크벤처스,5
소프트뱅크벤처스,3
네이버,1
네이버,3
기술보증기금,1
기술보증기금,3
이베스트투자증권,3
이베스트투자증권,3
네이버,2
네이버,2
네이버,1
씨엔티테크,2
씨엔티테크,2
중소벤처기업진흥공단,2
중소벤처기업진흥공단,2
기술보증기금,2
기술보증기금,2
아주아이비투자,2
아주아이비투자,2
부산대학교기술지주,1
부산대학교기술지주,2
네이버,5
네이버,5
소프트뱅크벤처스,3
소프트뱅크벤처스,5
디에스씨인베스트먼트,5
디에스씨인베스트먼트,5
디에스씨인베스트먼트,3
포스코기술투자,5
포스코기술투자,1
캡스톤파트너스,3
캡스톤파트너스,5
캡스톤파트너스,5
네이버,2
네이버,2
신용보증기금,2
신용보증기금,2
인라이트벤처스,1
인라이트벤처스,2
인라이트벤처스,1
네이버,3
네이버,3
네이버,6
네이버,3
파트너스인베스트먼트,6
파트너스인베스트먼트,5
디에스자산운용,5
디에스자산운용,6
유티씨인베스트먼트,5
유티씨인베스트먼트,6
대신증권,6
대신증권,5
네이버,3
네이버,2
위벤처스,2
위벤처스,3
위벤처스,3
스마일게이트인베스트먼트,3
스마일게이트인베스트먼트,3
유티씨인베스트먼트,3
유티씨인베스트먼트,3
데일리파트너스,3
데일리파트너스,3
캡스톤파트너스,3
캡스톤파트너스,3
캡스톤파트너스,2
서울투자파트너스,3
서울투자파트너스,2
서울투자파트너스,3
네이버,3
네이버,1
네이버,3
위벤처스,3
위벤처스,3
베이스인베스트먼트,3
베이스인베스트먼트,1
스톤브릿지벤처스,3
스톤브릿지벤처스,3
미래에셋벤처투자,3
미래에셋벤처투자,3
한국산업은행,3
한국산업은행,3
네이버,3
네이버,3
퓨처플레이,3
본엔젤스벤처파트너스,3
코오롱인베스트먼트,3
코오롱인베스트먼트,3
티에스인베스트먼트,3
티에스인베스트먼트,3
씨제이이엔엠,3
씨제이이엔엠,3
대경인베스트먼트,3
대경인베스트먼트,3
네이버,3
네이버,3
아이엠엠인베스트먼트,3
아이엠엠인베스트먼트,3
컴퍼니케이파트너스,3
컴퍼니케이파트너스,3
네이버,1
네이버,1
디에스씨인베스트먼트,1
디에스씨인베스트먼트,1
펄어비스캐피탈,1
펄어비스캐피탈,1
네이버,3
네이버,2
롯데벤처스,1
롯데벤처스,2
롯데벤처스,3
카이스트청년창업투자지주,1
카이스트청년창업투자지주,3
현대차증권,3
현대차증권,1
슈미트,3
슈미트,3
엔비에이치캐피탈,3
엔비에이치캐피탈,3
보광인베스트먼트,3
보광인베스트먼트,3
빅베이슨캐피탈,3
빅베이슨캐피탈,3
네이버,1
네이버,3
위벤처스,3
위벤처스,1
제이비인베스트먼트,3
제이비인베스트먼트,3
아이비케이기업은행,3
아이비케이기업은행,3
한국투자파트너스,3
한국투자파트너스,3
신용보증기금,3
신용보증기금,3
지에스리테일,3
지에스리테일,3
네이버,1
네이버,5
디쓰리쥬빌리파트너스,5
디쓰리쥬빌리파트너스,5
아이비케이캐피탈,5
아이비케이캐피탈,5
엘비인베스트먼트,5
엘비인베스트먼트,3
네이버,1
네이버,3
네이버,5
네이버,5
카카오벤처스,3
카카오벤처스,5
카카오벤처스,5
한국투자파트너스,5
한국투자파트너스,5
케이비인베스트먼트,5
케이비인베스트먼트,5
신용보증기금,3
신용보증기금,5
엘앤에스벤처캐피털,1
엘앤에스벤처캐피털,5
한국산업은행,5
한국산업은행,5
에이티넘인베스트먼트,3
에이티넘인베스트먼트,5
에이티넘인베스트먼트,5
현대자동차,5
현대자동차,5
네이버,3
네이버,5
네이버,5
아이비케이기업은행,5
아이비케이기업은행,5
스톤브릿지벤처스,5
스톤브릿지벤처스,5
케이비증권,5
케이비증권,5
케이비증권,3
한국산업은행,5
한국산업은행,5
스틱벤처스,5
스틱벤처스,5
티에스인베스트먼트,5
티에스인베스트먼트,5
티에스인베스트먼트,3
대경인베스트먼트,5
대경인베스트먼트,3
네이버,5
네이버,6
매쉬업엔젤스,1
한국투자파트너스,5
파트너스인베스트먼트,5
아주아이비투자,5
대교인베스트먼트,3
대교인베스트먼트,5
캡스톤파트너스,1
캡스톤파트너스,3
네이버,1
네이버,1
네이버,1
네이버,3
에이치비인베스트먼트,3
에이치비인베스트먼트,3
신한투자증권,3
신한투자증권,3
한국산업은행,3
한국산업은행,3
현대자동차,1
현대자동차,3
현대자동차,3
에스케이텔레콤,1
에스케이텔레콤,3
네이버,2
네이버,2
네이버,2
네이버,3
인사이트에퀴티파트너스,3
인사이트에퀴티파트너스,3
네이버,1
네이버,1
디지털헬스케어파트너스,1
디지털헬스케어파트너스,1
네이버,3
스마일게이트인베스트먼트,5
스마일게이트인베스트먼트,5
한국투자파트너스,5
한국투자파트너스,5
한국투자파트너스,3
케이비인베스트먼트,3
케이비인베스트먼트,5
케이비인베스트먼트,5
미래에셋벤처투자,5
키움인베스트먼트,5
케이비증권,5
아이비케이캐피탈,5
엔비에이치캐피탈,5
아주아이비투자,3
아주아이비투자,5
우리벤처파트너스,5
우리벤처파트너스,5
디에스씨인베스트먼트,5
디에스씨인베스트먼트,5
케이브릿지인베스트먼트,5
신한벤처투자,5
아이비케이투자증권,5
야놀자,5
롯데벤처스,3
롯데벤처스,3
카이스트청년창업투자지주,1
카이스트청년창업투자지주,3
현대차증권,1
현대차증권,3
아이비케이기업은행,2
아이비케이기업은행,3
에스케이증권,2
에스케이증권,3
신한투자증권,1
신한투자증권,3
케이비증권,2
케이비증권,3
롯데벤처스,2
롯데벤처스,3
인포뱅크,3
인포뱅크,3
더웰스인베스트먼트,3
더웰스인베스트먼트,3
하나은행,3
하나은행,3
대덕벤처파트너스,2
대덕벤처파트너스,3
롯데벤처스,3
롯데벤처스,3
씨제이인베스트먼트,3
씨제이인베스트먼트,3
나이스투자파트너스,3
나이스투자파트너스,3
유티씨인베스트먼트,3
유티씨인베스트먼트,3
데일리파트너스,1
데일리파트너스,3
데일리파트너스,3
롯데벤처스,2
롯데벤처스,2
블루포인트파트너스,1
블루포인트파트너스,2
티비티,2
티비티,2
신용보증기금,2
신용보증기금,1
에이치비인베스트먼트,2
에이치비인베스트먼트,2
롯데벤처스,2
롯데벤처스,2
카이스트청년창업투자지주,2
카이스트청년창업투자지주,2
현대차증권,2
현대차증권,2
매쉬업엔젤스,1
매쉬업엔젤스,2
